Division_ID,Division_Name,Year,Division_Total_Population,Division_Population_White,Division_Population_Black_African_American,Division_Population_American_Indian_Alaska_Native,Division_Population_Asian,Division_Population_Native_Hawaiian_Other_Pacific_Islander,Division_Population_Some_Other_Race,Division_Population_Two_Or_More_Races,Division_Population_Hispanic_Latino,Percent_White,Percent_Black_African_American,Percent_American_Indian_Alaska_Native,Percent_Asian,Percent_Native_Hawaiian_Other_Pacific_Islander,Percent_Some_Other_Race,Percent_Two_Or_More_Races,Percent_Hispanic_Latino
8,WEST LOS ANGELES,2021,227030.6,141620.93,7105.86,185.57,35768.34,215.93,1844.36,11929.79,28359.83,62.38,3.13,0.08,15.75,0.1,0.81,5.25,12.49
8,WEST LOS ANGELES,2022,227839.62,140808.57,7638.37,116.73,35660.01,260.11,2028.28,12745.11,28582.45,61.8,3.35,0.05,15.65,0.11,0.89,5.59,12.54
9,VAN NUYS,2017,173777.75,75519.66,7749.38,204.82,12018.65,92.45,531.1,4485.83,73175.87,43.46,4.46,0.12,6.92,0.05,0.31,2.58,42.11
9,VAN NUYS,2018,175052.67,74618.0,8393.36,150.9,11598.85,85.52,682.0,5138.11,74385.92,42.63,4.79,0.09,6.63,0.05,0.39,2.94,42.49
9,VAN NUYS,2019,174105.34,74256.4,8827.57,113.34,11623.31,53.23,689.94,5092.53,73449.03,42.65,5.07,0.07,6.68,0.03,0.4,2.92,42.19
9,VAN NUYS,2020,189665.2,83850.34,9677.35,176.35,12698.89,180.34,1028.37,6389.91,75663.65,44.21,5.1,0.09,6.7,0.1,0.54,3.37,39.89
9,VAN NUYS,2021,185624.74,80558.49,9176.88,71.97,12931.16,36.1,1174.11,6986.86,74689.17,43.4,4.94,0.04,6.97,0.02,0.63,3.76,40.24
9,VAN NUYS,2022,185548.07,77855.34,9497.78,242.36,13369.37,65.08,983.04,7326.44,76208.65,41.96,5.12,0.13,7.21,0.04,0.53,3.95,41.07
10,WEST VALLEY,2017,163891.14,77454.36,6393.52,135.67,15556.14,104.04,941.45,4325.66,58980.29,47.26,3.9,0.08,9.49,0.06,0.57,2.64,35.99
10,WEST VALLEY,2018,164144.85,75918.97,7052.53,159.55,15680.94,99.03,1094.96,4449.2,59689.67,46.25,4.3,0.1,9.55,0.06,0.67,2.71,36.36
10,WEST VALLEY,2019,163542.29,75791.6,6921.6,208.94,14636.0,100.01,1171.91,4760.32,59951.9,46.34,4.23,0.13,8.95,0.06,0.72,2.91,36.66
10,WEST VALLEY,2020,209540.34,95150.14,8371.04,253.01,19127.49,247.89,954.87,6952.21,78483.69,45.41,3.99,0.12,9.13,0.12,0.46,3.32,37.46
10,WEST VALLEY,2021,203660.84,90543.74,7440.81,312.83,17928.1,245.89,1190.18,7563.32,78435.98,44.46,3.65,0.15,8.8,0.12,0.58,3.71,38.51
10,WEST VALLEY,2022,201613.84,89028.66,7535.05,203.86,18088.03,240.88,1597.01,8048.18,76872.17,44.16,3.74,0.1,8.97,0.12,0.79,3.99,38.13
11,NORTHEAST,2017,225278.81,69544.06,3720.95,334.73,36151.77,411.89,685.9,5649.88,108779.64,30.87,1.65,0.15,16.05,0.18,0.3,2.51,48.29
11,NORTHEAST,2018,225588.63,70808.18,3880.51,523.89,35662.19,379.45,656.57,5882.27,107795.56,31.39,1.72,0.23,15.81,0.17,0.29,2.61,47.78
11,NORTHEAST,2019,222830.22,72191.98,4082.63,585.2,35632.06,393.67,661.67,6098.73,103184.27,32.4,1.83,0.26,15.99,0.18,0.3,2.74,46.31
11,NORTHEAST,2020,229203.58,78106.34,4211.01,620.64,36013.53,564.73,940.57,7784.66,100962.09,34.08,1.84,0.27,15.71,0.25,0.41,3.4,44.05
